AACTAY	aechtie
ANTANAYTYS	antanaitis
ANTARAMYAN	antaramian
ANT	enete
ANTH	annette
ANTNA	antenna
ANTRAPY	entropy
ANTRV	antero
ANTRVSYV	antrosio
ANTRYKYN	entrikin
ANTSTL	anthistle
ANTSYTL	anthistle
ANTVN	anthon
ANTVN	antone
ANTVN	antoun
ANTVNVGLV	antonoglou
ANTVNVVYC	antonowich
ANTVNY	anthony
ANTVNY	antoni
ANTVNY	antony
ANTVNYS	antonis
ANTVNYS	antonius
ANTVNYV	antonio
ANTVNYVS	antonius
ANTVS	antevs
ANTY	antti
ANTYLA	antila
ANTYPDS	antipodes
ANTYSTL	anthistle
ANTYSTLH	anthistle
ANV	anno
ANV	anu
ANVAR	anwar
ANVCYN	anuchin
ANV	enno
ANV	eno
ANVJYT	anujit
ANVKVL	anukul
ANVN	anon
ANVPAM	anupam
GABBL	gobble
GABLR	gabler
GABRYLH	gabriele
GABRYLH	gabrielle
GABRYYLSVN	gabrielsson
GABVR	gabor
GABYN	gubbin
GACR	goucher
GADBRY	gadbury
GADBT	godbout
GADBVRY	gadbury
GADBVYS	gadbois
GADFRVYD	godfroid
GADFRY	godfrey
GADGL	gudgel
GADMN	godman
GADRV	gaudreau
GADSN	godson
GADSVARD	goudswaard
GADVYN	godewyn
GADY	gadi
GADYJN	goddijn
GADYL	gadil
GAF	goff
GAF	gough
GAFNY	gaffney
GAFRAN	ghufran
GAFYN	gaffin
GAGNH	gagne
GAHRTY	gaherty
GAJNH	gagne
GAJR	goodger
GALA	galea
GALAGHR	gallagher
GALAGR	gallagher
GALAHAD	galahad
GALAN	gallun
GALANT	gallant
GALATYN	gallatin
GALAVY	galloway
GALBAVAY	galbavy
GALC	gulch
GALDN	goulden
GAL	gaal
GAL	gael
GAL	gale
GAL	gull
GRYVLYT	geervliet
GRYVNVD	greewnood
GRYYN	green
GRYYNVALD	greenwald
GRYZLY	grizzly
GRYZVN	gerritzon
GSAN	ghassan
GS	gass
GSKVYN	gascoyne
GSKVYNH	gascoyne
GSKYN	gaskin
GSKYNS	gaskins
GSKYNZ	gaskins
GSTAVVS	gustavus
GST	guest
GSTL	gastli
GTYS	gettys
GVADA	gouda
GVANG	guang
GVAN	gowan
GVAN	guan
GVANYAV	guanyao
GVARD	goward
GVBL	goble
GVBYN	gubbin
GVCAN	guochun
GVDA	godau
GVDA	gouda
GVDA	goudal
GVDAL	goodall
GVDARD	goddard
GVDATA	gudata
GVDAT	gudat
GVDAYNAF	goodenough
GVD	good
KVRSL	courcelle
KVRSLV	corsello
KVRSN	kursun
KVRSTN	korsten
KVRT	cort
KVRTH	korte
KVRTL	cortell
KVRTLND	courtlandt
KVRTLNT	courtlandt
KVRTRAYT	kortright
KVRTZ	cortez
KVRVNLA	coronella
KVRVYN	corwin
KVRYA	correia
KVRY	corey
KVRY	coury
KVRYDVR	corridor
KVRYGAN	corrigan
KVRY	korey
KVRY	kory
KVRYLA	kurilla
KVRYL	coryell
KVRZAYN	corzine
KVSADA	quesada
KVSAK	kossack
KVSAY	kushay
KVSH	koosje
KVSJH	koosje
LVM	lum
LVMN	lowman
LVNAN	lonon
LVNAV	lunau
LVNDAN	lewendon
LVND	lund
LVNDVN	lewendon
LVNJ	luinge
LVN	lon
LVN	lonn
LVNLY	lonely
LVNMV	lonnemo
LVNYG	luinge
LVNY	loney
LVNY	lonnie
LVNY	lownie
LVNYNGDAL	lonningdal
LVNZ	lones
LVNZ	lunz
LVPATKYN	lupatkin
LVP	loop
LVPR	luper
LVPRSTY	lopresti
LVPYN	lupien
LVPZ	lopez
LVRA	laura
LVRA	lora
LVRC	lorch
LVRD	lord
LVRJYV	lorgio
RAFALKV	rafalko
RAFAL	rafal
RAFALSKY	rafalski
RAFA	rafa
RAFAYL	rafael
RAFAYLY	rafaeli
RAFNR	ruffner
RAF	roff
RAFRTY	rafferty
RAFYKYV	rafique
RAFYL	rafael
RAFYN	raffin
RAFY	rafi
RAGATZ	ragatz
RAGLND	ragland
RAGL	ragle
RAGNAR	ragnar
RAGNARSVN	ragnarsson
RAGNRD	rognerud
RAGNVALD	ragnvald
RAGRV	rogero
RAGSDYL	ragsdale
RAHARJV	rahardjo
RAHBK	rohbeck
RAHRR	rohrer
VSTRHLM	westerholm
VSTRN	western
VSTRVLDT	westerveldt
VSTRVLT	westerveldt
VSTR	wester
VST	vest
VSTVN	weston
VSTVR	westover
VST	west
VST	weste
VS	vos
VSYM	waseem
VSYT	wasit
VSY	vessey
VSY	wasay
VTMVR	wetmore
VTR	vetter
VTR	wouter
VTS	watts
VT	wet
VVDARD	woodard
VVDBRN	woodburn
VVDD	wooded
VVDGYT	woodgate
VVDHAVS	woodhouse
VVDN	wooden
VVDRV	woodrow
VVDVARD	woodward
VVD	wood
VVGLR	vogler
VVGL	vogel
VVG	woog
VVJAK	vojak
VVK	wook
VVLARD	woolard
VVLARD	woollard
ZMAN	zeman
ZMYRAN	zimraan
ZMYT	zammit
ZNG	zang
ZNK	jenneke
ZNTNR	zentner
ZNYKH	zanneke
ZN	zen
ZPKA	zepka
ZRA	zara
ZRYA	zaria
ZRYFA	zarifa
ZRYF	zarifa
ZRYH	zaria
ZRYNK	zurink
ZRY	zaria
ZVHANS	johannes
ZVHANSN	johansson
ZVKA	zocca
ZVLD	zold
ZVL	joel
ZVLMR	zolmer
ZVLY	jolly
ZVLYKA	zuleika
ZVNTK	zontek
ZVRYNK	zurink
ZVRYSYKA	jurisica
ZVTRVD	zoeterwoude
ZVTRVVD	zoeterwoude
ZVVAYTA	zuvieta
ZVVYTA	zuvieta
ZVYTA	zuvieta
ZVYTRVVD	zoeterwoude
ZVZF	joseph
ZYGMVNT	zygmunt
ZYLT	gillett
ZYL	zyl
ZYMRAN	zimraan
ZYNAH	zaynah
ZYNA	zaynah
ZYNB	zainab
ZYNH	zaynah
ZYNSR	zinser
ZYRA	zaira
ZYRYLY	zirilli
ZYR	zeyer
ZYTV	zito
ZYVRYNK	zurink
ZYVTRVD	zoeterwoude
ZYZY	zeke
ZZA	zaza
